CC(C=C1)=CC=C1C(C=C2)=CC=C2OC3=CC=CC(OC(C=C4)=CC=C4C(C=C5)=CC=C5OC(C=C6)=CC=C6S(C7=CC=C(OC(C=C8)=CC=C8C(C=C9)=CC=C9OC(C=C%10)=CC=C%10S(C%11=CC=CC=C%11)(=O)=O)C=C7)(=O)=O)=C3C(C%12=CC(C[N+]%13=CN(C)C=C%13)=CC(C[N+]%14=CN(C)C=C%14)=C%12)=O,0.833,0.167,4.988,1,0.06312
CC(C=C1)=CC=C1C(C=C2)=CC=C2OC3=CC=CC(OC(C=C4)=CC=C4C(C=C5)=CC=C5OC(C=C6)=CC=C6S(C7=CC=C(OC(C=C8)=CC=C8C(C=C9)=CC=C9OC(C=C%10)=CC=C%10S(C%11=CC=CC=C%11)(=O)=O)C=C7)(=O)=O)=C3C(C%12=CC(C[N+]%13=CN(C)C=C%13)=CC(C[N+]%14=CN(C)C=C%14)=C%12)=O,0.789,0.211,3.739,1,0.04667
O=S(C1=CC=C(C)C=C1)(C2=CC=C(OC3=C(C[N+]4=C(C)N(C)C=C4)C=C(C(C)(C5=CC(C[N+]6=C(C)N(C)C=C6)=C(OC7=CC=C(S(C8=CC=C(OC9=CC=C(C%10(CCCCC%10)C%11=CC=C(OC)C=C%11)C=C9)C=C8)(=O)=O)C=C7)C(C[N+]%12=C(C)N(C)C=C%12)=C5)C)C=C3C)C=C2)=O,0.5,0.5,1,1,0.07
O=S(C1=CC=C(C)C=C1)(C2=CC=C(OC3=C(C[N+]4=CN(C)C=C4)C=C(C(C)(C5=CC(C[N+]6=CN(C)C=C6)=C(OC7=CC=C(S(C8=CC=C(OC9=CC=C(C%10(CCCCC%10)C%11=CC=C(OC)C=C%11)C=C9)C=C8)(=O)=O)C=C7)C(C[N+]%12=CN(C)C=C%12)=C5)C)C=C3C)C=C2)=O,0.5,0.5,1,1,0.0419
O=S(C1=CC=C(C)C=C1)(C2=CC=C(OC3=C(C[N+]4=C(C)N(C)C=C4)C=C(C(C)(C5=CC(C[N+]6=C(C)N(C)C=C6)=C(OC7=CC=C(S(C8=CC=C(OC9=CC=C(C(C)(C)C%10=CC=C(OC)C=C%10)C=C9)C=C8)(=O)=O)C=C7)C(C[N+]%11=C(C)N(C)C=C%11)=C5)C)C=C3C)C=C2)=O,0.5,0.5,1,1,0.0611
O=S(C1=CC=C(C)C=C1)(C2=CC=C(OC3=C(C[N+]4=CN(C)C=C4)C=C(C(C)(C5=CC(C[N+]6=CN(C)C=C6)=C(OC7=CC=C(S(C8=CC=C(OC9=CC=C(C(C)(C)C%10=CC=C(OC)C=C%10)C=C9)C=C8)(=O)=O)C=C7)C(C[N+]%11=CN(C)C=C%11)=C5)C)C=C3C)C=C2)=O,0.5,0.5,1,1,0.0767
O=S(C1=CC=C(C)C=C1)(C2=CC=C(OC3=C(C[N+]4=C(C)N(C)C=C4)C=C(C(C)(C5=CC(C[N+]6=C(C)N(C)C=C6)=C(OC7=CC=C(S(C8=CC=C(OC9=CC=C(C%10=CC=C(OC)C=C%10)C=C9)C=C8)(=O)=O)C=C7)C(C[N+]%11=C(C)N(C)C=C%11)=C5)C)C=C3C)C=C2)=O,0.5,0.5,1,1,0.0526
O=S(C1=CC=C(C)C=C1)(C2=CC=C(OC3=C(C[N+]4=CN(C)C=C4)C=C(C(C)(C5=CC(C[N+]6=CN(C)C=C6)=C(OC7=CC=C(S(C8=CC=C(OC9=CC=C(C%10=CC=C(OC)C=C%10)C=C9)C=C8)(=O)=O)C=C7)C(C[N+]%11=CN(C)C=C%11)=C5)C)C=C3C)C=C2)=O,0.5,0.5,1,1,0.0654
O=S(C1=CC=C(OC2=CC=C(C(C3=CC=C(OC4=CC=C(S(C5=CC=C(C)C=C5)(=O)=O)C=C4)C=C3)(C(F)(F)F)C(F)(F)F)C=C2)C=C1)(C6=CC=C(OC7=C(OC8=C(F)C(F)=C(OC9=C(C[N+]%10=CN(C)C=C%10)C=C(OC%11=C(C[N+]%12=CN(C)C=C%12)C=CC=C%11C[N+]%13=CN(C)C=C%13)C=C9C[N+]%14=CN(C)C=C%14)C(F)=C8F)C=C(C)C=C7)C=C6)=O,0.05,0.95,0.053,1,0.0337
O=S(C1=CC=C(OC2=CC=C(C(C3=CC=C(OC4=CC=C(S(C5=CC=C(C)C=C5)(=O)=O)C=C4)C=C3)(C(F)(F)F)C(F)(F)F)C=C2)C=C1)(C6=CC=C(OC7=C(OC8=C(F)C(F)=C(OC9=C(C[N+]%10=CN(C)C=C%10)C=C(OC%11=C(C[N+]%12=CN(C)C=C%12)C=CC=C%11C[N+]%13=CN(C)C=C%13)C=C9C[N+]%14=CN(C)C=C%14)C(F)=C8F)C=C(C)C=C7)C=C6)=O,0.1,0.9,0.111,1,0.0549
O=S(C1=CC=C(OC2=CC=C(C(C3=CC=C(OC4=CC=C(S(C5=CC=C(C)C=C5)(=O)=O)C=C4)C=C3)(C(F)(F)F)C(F)(F)F)C=C2)C=C1)(C6=CC=C(OC7=C(OC8=C(F)C(F)=C(OC9=C(C[N+]%10=CN(C)C=C%10)C=C(OC%11=C(C[N+]%12=CN(C)C=C%12)C=CC=C%11C[N+]%13=CN(C)C=C%13)C=C9C[N+]%14=CN(C)C=C%14)C(F)=C8F)C=C(C)C=C7)C=C6)=O,0.125,0.875,0.143,1,0.0635
O=S(C1=CC=C(OC2=CC=C(C(C3=CC=C(OC4=CC=C(S(C5=CC=C(C)C=C5)(=O)=O)C=C4)C=C3)(C(F)(F)F)C(F)(F)F)C=C2)C=C1)(C6=CC=C(OC7=C(OC8=C(F)C(F)=C(OC9=C(C[N+]%10=CN(C)C=C%10)C=C(OC%11=C(C[N+]%12=CN(C)C=C%12)C=CC=C%11C[N+]%13=CN(C)C=C%13)C=C9C[N+]%14=CN(C)C=C%14)C(F)=C8F)C=C(C)C=C7)C=C6)=O,0.15,0.85,0.176,1,0.0788
CN1C=C[N+](CCCCCCN2C=C[N+](CCCCCCCN3C=C[N+](CC4=CC(C5(C6=CC(C[N+]7=CN(CCCCCC[N+]8=CN(CCCCCC[N+]9=CN(C)C=C9)C=C8)C=C7)=C(OC)C(C[N+]%10=CN(CCCCCC[N+]%11=CN(CCCCCC[N+]%12=CN(C)C=C%12)C=C%11)C=C%10)=C6)C(C=CC=C%13)=C%13C%14=C5C=CC=C%14)=CC(C[N+]%15=CN(CCCCCC[N+]%16=CN(CCCCCC[N+]%17=CN(C)C=C%17)C=C%16)C=C%15)=C4OC%18=CC=C(S(C%19=CC=C(OC%20=CC=C(C(C(F)(F)F)(C(F)(F)F)C(C=C%21)=CC=C%21OC(C=C%22)=CC=C%22S(C%23=CC=C(C)C=C%23)(=O)=O)C=C%20)C=C%19)(=O)=O)C=C%18)=C3)=C2)=C1,0.167,0.833,0.2,1,0.0811
CN1C=C[N+](CCCCCCN2C=C[N+](CCCCCCCN3C=C[N+](CC4=CC(C5(C6=CC(C[N+]7=CN(CCCCCC[N+]8=CN(CCCCCC[N+]9=CN(C)C=C9)C=C8)C=C7)=C(OC)C(C[N+]%10=CN(CCCCCC[N+]%11=CN(CCCCCC[N+]%12=CN(C)C=C%12)C=C%11)C=C%10)=C6)C(C=CC=C%13)=C%13C%14=C5C=CC=C%14)=CC(C[N+]%15=CN(CCCCCC[N+]%16=CN(CCCCCC[N+]%17=CN(C)C=C%17)C=C%16)C=C%15)=C4OC%18=CC=C(S(C%19=CC=C(OC%20=CC=C(C(C(F)(F)F)(C(F)(F)F)C(C=C%21)=CC=C%21OC(C=C%22)=CC=C%22S(C%23=CC=C(C)C=C%23)(=O)=O)C=C%20)C=C%19)(=O)=O)C=C%18)=C3)=C2)=C1,0.286,0.714,0.4,1,0.12
O=S(C(C=C1)=CC=C1OC2=C(C[N+]3=CN=CC3)C=C(C4(C5=CC(C[N+]6=CN=CC6)=C(OC)C(CC)=C5)C(C=CC=C7)=C7C8=C4C=CC=C8)C=C2CC)(C9=CC=C(OC%10=CC=C(C(C(F)(F)F)(C(F)(F)F)C(C=C%11)=CC=C%11OC(C=C%12)=CC=C%12S(C%13=CC=C(C)C=C%13)(=O)=O)C=C%10)C=C9)=O,0.286,0.714,0.4,1,0.0576
CC1=[N+](CC2=CC=CC=C2)C3=C(N1CC4=CC=CC=C4)C=C(C5=CC(N(CC6=CC=CC=C6)C(C7=CC=C(OC8=CC=C(C)C=C8)C=C7)=[N+]9CC%10=CC=CC=C%10)=C9C=C5)C=C3,0.5,0.5,1,0,0.00684
CC1=[N+](CC2=CC=CC=C2)C3=C(N1CC4=CC=CC=C4)C=C(C5=CC(N(CC6=CC=CC=C6)C(C7=CC=CC(C)=C7)=[N+]8CC9=CC=CC=C9)=C8C=C5)C=C3,0.5,0.5,1,0,0.00186
C=S(C1=CC=C(OC2=C(C[N+]3(C)CCCCC3)C=C(OCC=C)C(C[N+]4(CCCCC4)C)=C2)C=C1)(C5=CC=C(OC6=CC(C[N+]7(C)CCCCC7)=C(OC8=CC=C(S(C9=CC=C(OC%10=CC=C(C(C(F)(F)F)(C(F)(F)F)C%11=CC=C(OC%12=CC=C(S(C%13=CC=C(OC%14=C(C[N+]%15(C)CCCCC%15)C=C(OC%16=CC=C(S(C%17=CC=C(OC%18=C(C[N+]%19(CCCCC%19)C)C=C(OCC=C)C(C[N+]%20(C)CCCCC%20)=C%18)C=C%17)(=O)=O)C=C%16)C(C[N+]%21(C)CCCCC%21)=C%14)C=C%13)(=O)=O)C=C%12)C=C%11)C=C%10)C=C9)(=O)=O)C=C8)C=C6C[N+]%22(C)CCOCC%22)C=C5)=C,0.4,0.6,0.67,1,0.054
C=S(C1=CC=C(OC2=C(C[N+]3(C)CCCCC3)C=C(OCC=C)C(C[N+]4(CCCCC4)C)=C2)C=C1)(C5=CC=C(OC6=CC(C[N+]7(C)CCCCC7)=C(OC8=CC=C(S(C9=CC=C(OC%10=CC=C(C(C(F)(F)F)(C(F)(F)F)C%11=CC=C(OC%12=CC=C(S(C%13=CC=C(OC%14=C(C[N+]%15(C)CCCCC%15)C=C(OC%16=CC=C(S(C%17=CC=C(OC%18=C(C[N+]%19(CCCCC%19)C)C=C(OCC=C)C(C[N+]%20(C)CCCCC%20)=C%18)C=C%17)(=O)=O)C=C%16)C(C[N+]%21(C)CCCCC%21)=C%14)C=C%13)(=O)=O)C=C%12)C=C%11)C=C%10)C=C9)(=O)=O)C=C8)C=C6C[N+]%22(C)CCOCC%22)C=C5)=C,0.6,0.4,1.5,1,0.0783
CC[N+]1(C(CC)C)C2=CC=CC=C2C3=C1C=CC=C3,0.078,0.922,0.085,0,0.00491
CC[N+]1(C(CC)C)C2=CC=CC=C2C3=C1C=CC=C3,0.159,0.841,0.189,0,0.00639
CC[N+]1(C(CC)C)C2=CC=CC=C2C3=C1C=CC=C3,0.251,0.749,0.335,0,0.00804
CC[N+]1(C(CC)C)C2=CC=CC=C2C3=C1C=CC=C3,0.318,0.682,0.466,0,0.01
CC[N+]1(C(CC)C)C2=CC=CC=C2C3=C1C=CC=C3,0.353,0.647,0.546,0,0.0103
CC(CC(CC)C1=CC=CC=C1)[n+]2cn(CCCC)cc2,0.357,0.643,0.555,1,0.0493
CC(CC(CC)C1=CC=CC=C1)[n+]2cn(CCCC)cc2,0.286,0.714,0.4,1,0.0294
CC(CC(CC)C1=CC=CC=C1)[n+]2cn(CCCC)cc2,0.222,0.778,0.285,1,0.0261
Cn1c[n+](C(CC(CC)C2=CC=CC=C2)C)cc1,0.455,0.545,0.835,1,0.0279
Cn1c[n+](C(CC(CC)C2=CC=CC=C2)C)cc1,0.417,0.583,0.715,1,0.0206
Cn1c[n+](C(CC(CC)C2=CC=CC=C2)C)cc1,0.333,0.667,0.499,1,0.0146
CC1=CC(C)=CC(C)=C1OC2=CC(C[N+]3=C(C)N(C)C=C3)=C(OC)C(C)=C2,0.315,0.685,0.46,1,0.04705
CC1=CC(CN(CCCCCC[N+](C)(CCCCCCCCCCCCCCCCCC)C)C)=C(OC)C(C)=C1,0.26,0.74,0.351,1,0.08517
CC1=CC(C)=C(OC2=C(C[N+](C)(C)C)C(C)=C(OC)C(C)=C2)C(C)=C1,0.36,0.64,0.563,1,0.0544
CC1=CC(C[N+](C)(C)CCCCCC[N+](C)(C)CC)=C(OC2=CC(C)=C(OC)C(C)=C2)C(C)=C1,0.23,0.77,0.299,1,0.0985
CC1=CC(C[N+](C)(C)CCCCCC[N+](C)(C)CCCC[N+](C)(C)C)=C(OC2=CC(C)=C(OC)C(C)=C2)C(C)=C1,0.17,0.83,0.205,1,0.1188
CC1=CC=C(C=C1)S(=O)(C2=CC=C(C=C2)OC3=CC=C(C=C3)C(C(F)(F)F)(C(F)(F)F)C4=CC=C(C=C4)OC5=CC=C(C=C5)S(=O)(C6=CC=C(C=C6)OC7=C(C(C8=CC=CC=C8C9=C(C=CC=C9)C%10=CC(OCCCCCCn%11cc[n+](C)c%11)=C(C(OCCCCCCn%12cc[n+](C)c%12)=C%10)OC)=CC=C7OCCCCCCn%13cc[n+](C)c%13)OCCCCCCn%14cc[n+](C)c%14)=O)=O,0.03,0.1,0.3,1,0.05747945
